N_iters f_trunc_cg f_trunc_approx_cg f_trunc_trm f_trunc_approx_trm
770 1.3735626675642856e-06 1.4806885182200712e-06 1.121122316464685e-06 1.1477907706369961e-06
775 1.3610507393177897e-06 1.4806885182200712e-06 1.1207586486013882e-06 1.1476150828600443e-06
780 1.3579149148495794e-06 1.4806885182200712e-06 1.1200301207217204e-06 1.1475291357350553e-06
785 1.3557736286886391e-06 1.4806885182200712e-06 1.1200033609603784e-06 1.1474636951045613e-06
790 1.3540507334476023e-06 1.4806885182200712e-06 1.1198679542742634e-06 1.1474193676110287e-06
795 1.3531186647328188e-06 1.4806885182200712e-06 1.119827933932733e-06 1.1472654954654676e-06
800 1.3525439112319537e-06 1.4806885182200712e-06 1.1197899245099512e-06 1.1470644071729992e-06
805 1.3512500436046382e-06 1.4806885182200712e-06 1.1197007024245243e-06 1.146761672195438e-06
810 1.346789867507817e-06 1.4806885182200712e-06 1.1192842172029845e-06 1.1467115574334978e-06
815 1.344880077518478e-06 1.4806885182200712e-06 1.118815554613693e-06 1.1466170200365688e-06
820 1.3435065614701976e-06 1.4806885182200712e-06 1.1173555362177194e-06 1.1464735879235977e-06
825 1.3429526852034341e-06 1.4806885182200712e-06 1.1172510502658682e-06 1.1463839052060673e-06
830 1.3424279069432708e-06 1.4806885182200712e-06 1.113750491446378e-06 1.1461959452832588e-06
835 1.3421229230586635e-06 1.4806885182200712e-06 1.1133608303058066e-06 1.1460798245024845e-06
840 1.3414721889309687e-06 1.4806885182200712e-06 1.1122301941637263e-06 1.1458769968731164e-06
845 1.3405337941605844e-06 1.4806885182200712e-06 1.1119724946250371e-06 1.145777501730549e-06
850 1.3387927451130336e-06 1.4806885182200712e-06 1.111811378709131e-06 1.145501552020437e-06
855 1.3367530628289209e-06 1.4806885182200712e-06 1.1116589599073647e-06 1.1448709789159058e-06
860 1.3314743256176416e-06 1.4806885182200712e-06 1.1115692422548674e-06 1.1435175193834942e-06
865 1.3301079855023876e-06 1.4806885182200712e-06 1.1114755379406618e-06 1.1430142293966634e-06
870 1.3253287609052556e-06 1.4806885182200712e-06 1.111422581682044e-06 1.1429679558671453e-06
875 1.3221080113093506e-06 1.4806885182200712e-06 1.1112849242142328e-06 1.1429182040823744e-06
880 1.3206988288076587e-06 1.4806885182200712e-06 1.1112529179743672e-06 1.1428430537170935e-06
885 1.3197471564319095e-06 1.4806885182200712e-06 1.1112153475572038e-06 1.1427315800435613e-06
890 1.3191479305511453e-06 1.4806885182200712e-06 1.1109776403304917e-06 1.142565506695237e-06
895 1.3182430619396236e-06 1.4806885182200712e-06 1.1108509724564255e-06 1.1423526324077654e-06
900 1.3102661244670253e-06 1.4806885182200712e-06 1.1107634075268864e-06 1.1421487314798047e-06
905 1.309081149209825e-06 1.4806885182200712e-06 1.1105502375420852e-06 1.1420295164428559e-06
910 1.3080758066339037e-06 1.4806885182200712e-06 1.1104951798672863e-06 1.1417950043071211e-06
915 1.3075192482755573e-06 1.4806885182200712e-06 1.1104534194802077e-06 1.1412894232110968e-06
920 1.3071811603510698e-06 1.4806885182200712e-06 1.110324899775127e-06 1.1405441014791186e-06
925 1.3061117988961563e-06 1.4806885182200712e-06 1.1097382155032826e-06 1.1401673734463123e-06
930 1.3051044343796832e-06 1.4806885182200712e-06 1.1091894575741586e-06 1.1401435816966934e-06
935 1.3043439920780967e-06 1.4806885182200712e-06 1.1088546386118395e-06 1.1400875161684856e-06
940 1.3040187642171246e-06 1.4806885182200712e-06 1.1077716672089563e-06 1.1400242182973006e-06
945 1.3037584193748006e-06 1.4806885182200712e-06 1.107655829392632e-06 1.1399609682673142e-06
950 1.3033823386676438e-06 1.4806885182200712e-06 1.1075145284529968e-06 1.139765129573364e-06
955 1.2996603697566579e-06 1.4806885182200712e-06 1.1070648987638642e-06 1.1395720532522109e-06
960 1.2972202863250884e-06 1.4806885182200712e-06 1.1058388381638296e-06 1.139393900548418e-06
965 1.2963030332987605e-06 1.4806885182200712e-06 1.1036038676021761e-06 1.1393015069804847e-06
970 1.2959191216284501e-06 1.4806885182200712e-06 1.1033376219880865e-06 1.1391992506447944e-06
975 1.2956705070337701e-06 1.4806885182200712e-06 1.1033174275427797e-06 1.1388787889148108e-06
980 1.2945331586765365e-06 1.4806885182200712e-06 1.1032529464189688e-06 1.1388478570302368e-06
985 1.2935902919952296e-06 1.4806885182200712e-06 1.1029281210452721e-06 1.1388007481205721e-06
990 1.2931661071379992e-06 1.4806885182200712e-06 1.1028030258089371e-06 1.138701416789502e-06
995 1.2927706235048469e-06 1.4806885182200712e-06 1.1027641273311332e-06 1.1383196348490402e-06
