N_iters walltime_cg f_trunc_cg walltime_approx_cg f_trunc_approx_cg walltime_trm f_trunc_trm walltime_approx_trm f_trunc_approx_trm
510 32.209857134195 1.4846471784531884e-06 6.495794578270241 1.4806885182200712e-06 144.05062884360282 1.1422911859866385e-06 17.567538279038924 1.1623237546044629e-06
515 32.525640047275346 1.483984478264629e-06 6.5594788388415175 1.4806885182200712e-06 145.462889910697 1.1420102383881377e-06 17.739769046480482 1.1618972484629126e-06
520 32.841422960355686 1.4832615924752652e-06 6.623163099412794 1.4806885182200712e-06 146.87515097779112 1.141244115749239e-06 17.91199981392204 1.1617834194119135e-06
525 33.157205873436034 1.482626002613335e-06 6.686847359984071 1.4806885182200712e-06 148.2874120448853 1.1401160868616364e-06 18.0842305813636 1.161460678145891e-06
530 33.472988786516375 1.4819302053796083e-06 6.750531620555348 1.4806885182200712e-06 149.69967311197942 1.1397214714042799e-06 18.256461348805153 1.1612779201350627e-06
535 33.788771699596715 1.4813343814768599e-06 6.814215881126625 1.4806885182200712e-06 151.11193417907356 1.139594159471341e-06 18.42869211624671 1.1611622986949294e-06
540 34.10455461267706 1.480527831391528e-06 6.877900141697902 1.4806885182200712e-06 152.52419524616772 1.1392462134722237e-06 18.60092288368827 1.1610459565744332e-06
545 34.420337525757404 1.4799123480230638e-06 6.941584402269179 1.4806885182200712e-06 153.93645631326186 1.1390444493533864e-06 18.773153651129828 1.1608256685396537e-06
550 34.736120438837744 1.4792608920668762e-06 7.0052686628404555 1.4806885182200712e-06 155.348717380356 1.1389878619800617e-06 18.945384418571386 1.1604839592744654e-06
555 35.05190335191809 1.4786916891232496e-06 7.068952923411732 1.4806885182200712e-06 156.76097844745016 1.1387402059262308e-06 19.117615186012944 1.160047136550816e-06
560 35.36768626499843 1.4779298633991949e-06 7.132637183983009 1.4806885182200712e-06 158.1732395145443 1.138102003601044e-06 19.289845953454503 1.1599608539573993e-06
565 35.683469178078774 1.477424466708569e-06 7.196321444554286 1.4806885182200712e-06 159.58550058163843 1.137306600321541e-06 19.46207672089606 1.1595246538019668e-06
570 35.99925209115912 1.4766767803983672e-06 7.260005705125563 1.4806885182200712e-06 160.9977616487326 1.1369824220051009e-06 19.63430748833762 1.1590825706624676e-06
575 36.31503500423946 1.4760663206121197e-06 7.32368996569684 1.4806885182200712e-06 162.41002271582673 1.13688270873111e-06 19.806538255779177 1.1589761119251992e-06
580 36.6308179173198 1.4754627405956482e-06 7.387374226268117 1.4806885182200712e-06 163.82228378292086 1.1362623266709835e-06 19.978769023220735 1.1585092780733564e-06
585 36.94660083040015 1.4749541634267406e-06 7.451058486839394 1.4806885182200712e-06 165.23454485001503 1.1361995213626363e-06 20.150999790662294 1.1581015496508152e-06
590 37.26238374348049 1.4742445403407008e-06 7.514742747410671 1.4806885182200712e-06 166.64680591710916 1.1361405329581508e-06 20.32323055810385 1.1579307542881864e-06
595 37.57816665656083 1.4737037288439181e-06 7.578427007981948 1.4806885182200712e-06 168.0590669842033 1.135859681310148e-06 20.49546132554541 1.157351615978194e-06
600 37.89394956964118 1.4730952687991554e-06 7.642111268553225 1.4806885182200712e-06 169.47132805129746 1.1354304309923019e-06 20.667692092986968 1.1565621097301362e-06
605 38.20973248272152 1.4725245390299776e-06 7.705795529124502 1.4806885182200712e-06 170.8835891183916 1.1349111540376315e-06 20.839922860428526 1.1563592187998032e-06
610 38.52551539580186 1.4719294130709173e-06 7.769479789695779 1.4806885182200712e-06 172.29585018548573 1.1345653859918921e-06 21.012153627870084 1.156260134118758e-06
615 38.84129830888221 1.4713765381233797e-06 7.833164050267055 1.4806885182200712e-06 173.7081112525799 1.133287387383891e-06 21.184384395311643 1.156189843603031e-06
620 39.15708122196255 1.4708424216975856e-06 7.896848310838332 1.4806885182200712e-06 175.12037231967403 1.1314093594263854e-06 21.3566151627532 1.1559599855474703e-06
625 39.47286413504289 1.4702572700616474e-06 7.960532571409609 1.4806885182200712e-06 176.53263338676817 1.1300641390442935e-06 21.52884593019476 1.1555033020626844e-06
630 39.78864704812324 1.469746952436329e-06 8.024216831980885 1.4806885182200712e-06 177.94489445386233 1.1300641390442935e-06 21.701076697636317 1.1553131137929988e-06
635 40.10442996120358 1.4679036667195466e-06 8.087901092552162 1.4806885182200712e-06 179.35715552095647 1.130017073177816e-06 21.873307465077875 1.1551235995836348e-06
640 40.42021287428392 1.4673127256699478e-06 8.151585353123439 1.4806885182200712e-06 180.7694165880506 1.1298771862731273e-06 22.045538232519434 1.1548748323384444e-06
645 40.73599578736427 1.4668695192452285e-06 8.215269613694716 1.4806885182200712e-06 182.18167765514477 1.129709275664526e-06 22.21776899996099 1.1547185430660736e-06
650 41.05177870044461 1.466302274486636e-06 8.278953874265992 1.4806885182200712e-06 183.5939387222389 1.1294389349216952e-06 22.38999976740255 1.1544529787483123e-06
655 41.367561613524956 1.4646308643049576e-06 8.34263813483727 1.4806885182200712e-06 185.00619978933307 1.1293869593492827e-06 22.562230534844108 1.154035434055518e-06
660 41.683344526605296 1.4640861699528028e-06 8.406322395408546 1.4806885182200712e-06 186.4184608564272 1.1293375522835002e-06 22.734461302285666 1.1530288076876533e-06
665 41.99912743968564 1.4635891552226083e-06 8.470006655979823 1.4806885182200712e-06 187.83072192352134 1.1292329399195581e-06 22.906692069727224 1.1529123711415058e-06
670 42.314910352765985 1.463101248224782e-06 8.5336909165511 1.4806885182200712e-06 189.2429829906155 1.1291340271533723e-06 23.078922837168783 1.1526714805746474e-06
675 42.630693265846325 1.4626940584821496e-06 8.597375177122377 1.4806885182200712e-06 190.65524405770964 1.1290034714890687e-06 23.25115360461034 1.152305750661295e-06
680 42.946476178926666 1.4610789442399966e-06 8.661059437693654 1.4806885182200712e-06 192.06750512480377 1.128593399957181e-06 23.423384372051895 1.1515941578225581e-06
685 43.262259092007014 1.4595624591666832e-06 8.72474369826493 1.4806885182200712e-06 193.47976619189794 1.1277438510185424e-06 23.595615139493454 1.1513941756007054e-06
690 43.578042005087354 1.4581305925805393e-06 8.788427958836207 1.4806885182200712e-06 194.89202725899207 1.1264967595557814e-06 23.767845906935012 1.1509724093559468e-06
695 43.893824918167695 1.4567804222490257e-06 8.852112219407484 1.4806885182200712e-06 196.3042883260862 1.1247917276802426e-06 23.94007667437657 1.150220887592575e-06
